% 0.60 |     8049 |    25740 |      100 | 1.79e-03 | 1.24e-02 ||     0.37 |     0.12 | 14504.51 ||     0.34 | 00h02'05  
R	NNC	IIC	NIC	INC	NNE	IIE	NIE	INE DC DE
0	0.0873767	0.0863845	0.00909753	0.00854821	0.0021861	0.00222534	0	0	0.34551	0.00151906
1	0.00586883	0.00407511	0.0129428	0.0120291	0.000756726	0.000566143	2.80269e-05	5.60538e-06	0.00577354	0.00391256
2	0.0579821	0.0592489	0.0145628	0.0139966	0.00279709	0.00317265	0.000128924	0.000106502	0.124238	0.00241592
3	0.00931054	0.00751682	0.0186771	0.0171637	0.00131166	0.00127803	0.000162556	0.000151345	0.00746076	0.0055157
4	0.0497085	0.0523655	0.0203251	0.0195235	0.00432175	0.0040583	0.000308296	0.000263453	0.0761379	0.00377242
5	0.0133969	0.0119675	0.0228195	0.0220796	0.00226457	0.00219731	0.0005213	0.000504484	0.00878924	0.00650785
6	0.0469787	0.0509922	0.0258016	0.0239798	0.00538117	0.0054204	0.000835202	0.000829596	0.0542265	0.0046861
7	0.0192433	0.0172141	0.0286323	0.0266312	0.00331278	0.00358744	0.00150224	0.00108184	0.0103363	0.00707399
8	0.0493274	0.0502915	0.0339462	0.031278	0.00696188	0.00696749	0.00234865	0.00203475	0.0412332	0.00637332
9	0.0285538	0.0260818	0.037315	0.0350617	0.00575112	0.0057343	0.0034361	0.00285874	0.0123374	0.00878363
10	0.0548823	0.0563341	0.0425056	0.0391031	0.0100785	0.0100673	0.00503924	0.00424888	0.0327803	0.00872758
11	0.0406446	0.0402242	0.0487052	0.045157	0.00871637	0.00899103	0.00663677	0.00598094	0.0146244	0.0106502
12	0.0645011	0.0640247	0.0553195	0.0515975	0.0133016	0.0133408	0.00928251	0.00821188	0.0276682	0.0115695
13	0.0541872	0.0534025	0.0602354	0.0557904	0.0126626	0.0130493	0.0116368	0.0112164	0.0161659	0.0114798
14	0.0653083	0.0659473	0.0629709	0.0609193	0.0155269	0.014546	0.0136099	0.0120908	0.0209473	0.0128027
15	0.054333	0.0539574	0.0639518	0.0625785	0.0130437	0.0127859	0.0147702	0.0142769	0.0155101	0.0105717
16	0.0505045	0.0514742	0.060213	0.0611155	0.0124047	0.0129092	0.0152018	0.0148655	0.0143722	0.0104652
17	0.037685	0.0381839	0.053509	0.0563621	0.00913677	0.00897982	0.0141592	0.0143217	0.010157	0.00711323
18	0.0283632	0.0282567	0.0451962	0.0495404	0.00718049	0.00717489	0.0120291	0.0126457	0.00721413	0.00567825
19	0.0173991	0.0173655	0.0369787	0.04162	0.00448991	0.00433296	0.00985987	0.0107287	0.00408632	0.00303812
20	0.00984305	0.0100785	0.0286491	0.032472	0.00272982	0.00264574	0.00691144	0.00873879	0.00233184	0.00195628
21	0.00484865	0.00504484	0.0212332	0.0245628	0.00102578	0.00129484	0.00552691	0.00593049	0.00122197	0.000818386
22	0.00231502	0.00220852	0.0149439	0.0180325	0.000571749	0.00058296	0.0036491	0.00473655	0.000414798	0.000482063
23	0.000790359	0.000790359	0.0112276	0.0134473	0.000201794	0.000162556	0.00272982	0.00301009	0.000179372	0.000190583
24	0.000330717	0.000313901	0.00799327	0.00982623	6.16592e-05	9.52915e-05	0.00203475	0.00241592	6.16592e-05	5.04484e-05
25	8.96861e-05	4.48431e-05	0.00565583	0.00714126	1.12108e-05	1.68161e-05	0.00143498	0.00173206	2.80269e-05	2.80269e-05
26	1.68161e-05	1.68161e-05	0.00406951	0.00516816	0	1.12108e-05	0.000936099	0.00104821	0	5.60538e-06
27	5.60538e-06	0	0.00272422	0.00336323	5.60538e-06	0	0.000627803	0.000823991	0	5.60538e-06
28	5.60538e-06	0	0.00167601	0.00243834	0	0	0.000498879	0.000549327	0	0
29	5.60538e-06	0	0.00110987	0.00153587	0	0	0.000190583	0.000442825	0	0
30	0	0	0.000650224	0.00100336	0	0	0.000123318	0.000196188	0	0
31	0	0	0.000168161	0.000571749	0	0	3.36323e-05	0.000117713	0	0


